Area,Dimensao,Estrategia,Frequencia,Periodo,Peso,OrdemArea,OrdemDimensao,OrdemEstrategia
Comunidade,Avançado,Comunidade Avançado 10: Projeto comunitário avançado,Programa,21 dias,3,5,3,10
Comunidade,Avançado,Comunidade Avançado 11: Projeto comunitário avançado,Programa,21 dias,3,5,3,11
Comunidade,Avançado,Comunidade Avançado 12: Projeto comunitário avançado,Programa,21 dias,3,5,3,12
Comunidade,Avançado,Comunidade Avançado 13: Projeto comunitário avançado,Programa,21 dias,3,5,3,13
Comunidade,Avançado,Comunidade Avançado 14: Projeto comunitário avançado,Programa,21 dias,3,5,3,14
Comunidade,Avançado,Comunidade Avançado 15: Projeto comunitário avançado,Programa,21 dias,3,5,3,15
Comunidade,Avançado,Comunidade Avançado 16: Projeto comunitário avançado,Programa,21 dias,3,5,3,16
Comunidade,Avançado,Comunidade Avançado 17: Projeto comunitário avançado,Programa,21 dias,3,5,3,17
Comunidade,Avançado,Comunidade Avançado 18: Projeto comunitário avançado,Programa,21 dias,3,5,3,18
Comunidade,Avançado,Comunidade Avançado 19: Projeto comunitário avançado,Programa,21 dias,3,5,3,19
Comunidade,Avançado,Comunidade Avançado 20: Projeto comunitário avançado,Programa,21 dias,3,5,3,20
Eu mesmo,Básico,Eu mesmo Básico 1: Hábito pessoal simples,Diário,21 dias,1,6,1,1
Eu mesmo,Básico,Eu mesmo Básico 2: Hábito pessoal simples,Diário,21 dias,1,6,1,2
Eu mesmo,Básico,Eu mesmo Básico 3: Hábito pessoal simples,Diário,21 dias,1,6,1,3
Eu mesmo,Básico,Eu mesmo Básico 4: Hábito pessoal simples,Diário,21 dias,1,6,1,4
Eu mesmo,Básico,Eu mesmo Básico 5: Hábito pessoal simples,Diário,21 dias,1,6,1,5
Eu mesmo,Básico,Eu mesmo Básico 6: Hábito pessoal simples,Diário,21 dias,1,6,1,6
Eu mesmo,Básico,Eu mesmo Básico 7: Hábito pessoal simples,Diário,21 dias,1,6,1,7
Eu mesmo,Básico,Eu mesmo Básico 8: Hábito pessoal simples,Diário,21 dias,1,6,1,8
Eu mesmo,Básico,Eu mesmo Básico 9: Hábito pessoal simples,Diário,21 dias,1,6,1,9
Eu mesmo,Básico,Eu mesmo Básico 10: Hábito pessoal simples,Diário,21 dias,1,6,1,10
Eu mesmo,Básico,Eu mesmo Básico 11: Hábito pessoal simples,Diário,21 dias,1,6,1,11
Eu mesmo,Básico,Eu mesmo Básico 12: Hábito pessoal simples,Diário,21 dias,1,6,1,12
Eu mesmo,Básico,Eu mesmo Básico 13: Hábito pessoal simples,Diário,21 dias,1,6,1,13
Eu mesmo,Básico,Eu mesmo Básico 14: Hábito pessoal simples,Diário,21 dias,1,6,1,14
Eu mesmo,Básico,Eu mesmo Básico 15: Hábito pessoal simples,Diário,21 dias,1,6,1,15
Eu mesmo,Básico,Eu mesmo Básico 16: Hábito pessoal simples,Diário,21 dias,1,6,1,16
Eu mesmo,Básico,Eu mesmo Básico 17: Hábito pessoal simples,Diário,21 dias,1,6,1,17
Eu mesmo,Básico,Eu mesmo Básico 18: Hábito pessoal simples,Diário,21 dias,1,6,1,18
Eu mesmo,Básico,Eu mesmo Básico 19: Hábito pessoal simples,Diário,21 dias,1,6,1,19
Eu mesmo,Básico,Eu mesmo Básico 20: Hábito pessoal simples,Diário,21 dias,1,6,1,20
Eu mesmo,Desafio,Eu mesmo Desafio 1: Desafio pessoal,Semanal,2 semanas,2,6,2,1
Eu mesmo,Desafio,Eu mesmo Desafio 2: Desafio pessoal,Semanal,2 semanas,2,6,2,2
Eu mesmo,Desafio,Eu mesmo Desafio 3: Desafio pessoal,Semanal,2 semanas,2,6,2,3
Eu mesmo,Desafio,Eu mesmo Desafio 4: Desafio pessoal,Semanal,2 semanas,2,6,2,4
Eu mesmo,Desafio,Eu mesmo Desafio 5: Desafio pessoal,Semanal,2 semanas,2,6,2,5
Eu mesmo,Desafio,Eu mesmo Desafio 6: Desafio pessoal,Semanal,2 semanas,2,6,2,6
Eu mesmo,Desafio,Eu mesmo Desafio 7: Desafio pessoal,Semanal,2 semanas,2,6,2,7
Eu mesmo,Desafio,Eu mesmo Desafio 8: Desafio pessoal,Semanal,2 semanas,2,6,2,8
Eu mesmo,Desafio,Eu mesmo Desafio 9: Desafio pessoal,Semanal,2 semanas,2,6,2,9
Eu mesmo,Desafio,Eu mesmo Desafio 10: Desafio pessoal,Semanal,2 semanas,2,6,2,10
Eu mesmo,Desafio,Eu mesmo Desafio 11: Desafio pessoal,Semanal,2 semanas,2,6,2,11
Eu mesmo,Desafio,Eu mesmo Desafio 12: Desafio pessoal,Semanal,2 semanas,2,6,2,12
Eu mesmo,Desafio,Eu mesmo Desafio 13: Desafio pessoal,Semanal,2 semanas,2,6,2,13
Eu mesmo,Desafio,Eu mesmo Desafio 14: Desafio pessoal,Semanal,2 semanas,2,6,2,14
Eu mesmo,Desafio,Eu mesmo Desafio 15: Desafio pessoal,Semanal,2 semanas,2,6,2,15
Eu mesmo,Desafio,Eu mesmo Desafio 16: Desafio pessoal,Semanal,2 semanas,2,6,2,16
Eu mesmo,Desafio,Eu mesmo Desafio 17: Desafio pessoal,Semanal,2 semanas,2,6,2,17
Eu mesmo,Desafio,Eu mesmo Desafio 18: Desafio pessoal,Semanal,2 semanas,2,6,2,18
Eu mesmo,Desafio,Eu mesmo Desafio 19: Desafio pessoal,Semanal,2 semanas,2,6,2,19
Eu mesmo,Desafio,Eu mesmo Desafio 20: Desafio pessoal,Semanal,2 semanas,2,6,2,20
Eu mesmo,Avançado,Eu mesmo Avançado 1: Projeto pessoal avançado,Programa,21 dias,3,6,3,1
Eu mesmo,Avançado,Eu mesmo Avançado 2: Projeto pessoal avançado,Programa,21 dias,3,6,3,2
Eu mesmo,Avançado,Eu mesmo Avançado 3: Projeto pessoal avançado,Programa,21 dias,3,6,3,3
Eu mesmo,Avançado,Eu mesmo Avançado 4: Projeto pessoal avançado,Programa,21 dias,3,6,3,4
Eu mesmo,Avançado,Eu mesmo Avançado 5: Projeto pessoal avançado,Programa,21 dias,3,6,3,5
Eu mesmo,Avançado,Eu mesmo Avançado 6: Projeto pessoal avançado,Programa,21 dias,3,6,3,6
Eu mesmo,Avançado,Eu mesmo Avançado 7: Projeto pessoal avançado,Programa,21 dias,3,6,3,7
Eu mesmo,Avançado,Eu mesmo Avançado 8: Projeto pessoal avançado,Programa,21 dias,3,6,3,8
Eu mesmo,Avançado,Eu mesmo Avançado 9: Projeto pessoal avançado,Programa,21 dias,3,6,3,9
Eu mesmo,Avançado,Eu mesmo Avançado 10: Projeto pessoal avançado,Programa,21 dias,3,6,3,10
Eu mesmo,Avançado,Eu mesmo Avançado 11: Projeto pessoal avançado,Programa,21 dias,3,6,3,11
Eu mesmo,Avançado,Eu mesmo Avançado 12: Projeto pessoal avançado,Programa,21 dias,3,6,3,12
Eu mesmo,Avançado,Eu mesmo Avançado 13: Projeto pessoal avançado,Programa,21 dias,3,6,3,13
Eu mesmo,Avançado,Eu mesmo Avançado 14: Projeto pessoal avançado,Programa,21 dias,3,6,3,14
Eu mesmo,Avançado,Eu mesmo Avançado 15: Projeto pessoal avançado,Programa,21 dias,3,6,3,15
Eu mesmo,Avançado,Eu mesmo Avançado 16: Projeto pessoal avançado,Programa,21 dias,3,6,3,16
Eu mesmo,Avançado,Eu mesmo Avançado 17: Projeto pessoal avançado,Programa,21 dias,3,6,3,17
Eu mesmo,Avançado,Eu mesmo Avançado 18: Projeto pessoal avançado,Programa,21 dias,3,6,3,18
Eu mesmo,Avançado,Eu mesmo Avançado 19: Projeto pessoal avançado,Programa,21 dias,3,6,3,19
Eu mesmo,Avançado,Eu mesmo Avançado 20: Projeto pessoal avançado,Programa,21 dias,3,6,3,20
